x y
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
250 131
850 131
